MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,ICICI PRU LIFE INS CO LTD,       514.95,       470.00,       488.90,       463.45,       486.20,               8215812759.70,17222774,N, ,191769,       615.60,       380.70
N,INTERGLOBE AVIATION LTD,      3058.75,      3025.80,      3072.90,      3013.95,      3052.60,               2814946923.15,925829,N, ,62451,      3132.00,      1810.65
N,INDUS TOWERS LIMITED,       211.25,       212.10,       219.00,       206.00,       215.95,               4346841415.90,20306069,N, ,109289,       229.95,       135.15
N,INDIAN OIL CORP LTD,       144.10,       143.80,       145.65,       139.90,       144.50,               3874724743.45,26958686,N, ,100010,       145.65,        75.75
N,INDIAN RAIL TOUR CORP LTD,       934.70,       935.10,       944.00,       870.30,       927.25,               6007630862.40,6557942,N, ,164584,       976.45,       557.10
N,LIFE INSURA CORP OF INDIA,       887.50,       890.00,       907.00,       867.05,       901.20,               4045868186.45,4546830,N, ,98438,       918.45,       530.05
N,MARICO LIMITED,       527.70,       527.70,       529.80,       517.85,       524.50,                621520113.95,1188131,N, ,27306,       595.00,       462.70
N,UNITED SPIRITS LIMITED,      1095.45,      1087.00,      1092.30,      1061.30,      1069.45,                994176507.40,927129,N, ,36630,      1132.00,       730.55
N,SAMVRDHNA MTHRSN INTL LTD,       108.10,       108.00,       109.65,       104.35,       107.85,               1745217012.80,16228778,N, ,64235,       111.30,        61.80
N,MPHASIS LIMITED,      2627.00,      2615.00,      2615.00,      2480.60,      2514.10,               1747562052.15,692100,N, ,71628,      2788.50,      1660.05
N,MUTHOOT FINANCE LIMITED,      1417.00,      1411.70,      1420.55,      1372.65,      1380.30,                752058426.95,542033,N, ,29256,      1537.35,       911.25
N,INFO EDGE (I) LTD,      5174.20,      5140.10,      5183.95,      4983.20,      5108.85,               1692769022.05,333250,N, ,58435,      5404.40,      3308.20
N,FSN E COMMERCE VENTURES,       168.40,       167.25,       169.60,       163.70,       165.95,               1959940415.75,11832175,N, ,107568,       195.50,       114.25
N,ONE 97 COMMUNICATIONS LTD,       736.25,       736.00,       759.60,       721.55,       754.30,               4457042850.50,5994981,N, ,145418,       998.30,       508.10
N,P&G HYGIENE & HEALTH CARE,     17246.90,     17240.00,     17335.85,     17076.90,     17310.40,                 38458356.85,2231,N, ,1280,     19250.00,     13140.10
N,PIDILITE INDUSTRIES LTD,      2757.75,      2742.00,      2750.25,      2675.00,      2698.40,               1264034947.85,468132,N, ,31245,      2805.00,      2250.05
N,PI INDUSTRIES LTD,      3420.90,      3413.00,      3420.00,      3330.30,      3356.30,               1546214331.90,458137,N, ,35489,      4011.15,      2868.90
N,SBI CARDS & PAY SER LTD,       752.20,       752.00,       753.80,       738.55,       750.25,               1095592664.90,1465911,N, ,52254,       933.00,       695.55
N,SHREE CEMENT LIMITED,     26137.00,     26248.90,     26598.00,     25650.00,     26477.15,                733924250.50,28106,N, ,10791,     29250.00,     21410.00
N,SIEMENS LTD,      4106.80,      4100.00,      4105.75,      3965.00,      4041.80,                758251593.80,187562,N, ,25965,      4245.00,      2891.40
N,SRF LTD,      2309.60,      2316.60,      2317.00,      2261.15,      2294.05,                753016792.65,328660,N, ,25139,      2636.00,      2040.00
N,TATA POWER CO LTD,       348.80,       347.80,       350.00,       335.30,       345.55,               5796230292.25,16863929,N, ,170698,       361.85,       182.35
N,TORRENT PHARMACEUTICALS L,      2472.20,      2470.00,      2479.15,      2407.25,      2462.55,                322260037.00,131306,N, ,12978,      2489.90,      1445.55
N,VEDANTA LIMITED,       264.85,       265.50,       268.90,       258.00,       267.55,               2634399702.60,9930238,N, ,105126,       340.75,       208.00
N,ZOMATO LIMITED,       127.40,       128.05,       129.80,       121.60,       129.45,              14056750511.05,111946831,N, ,320740,       141.50,        44.35
 , , , , , , , , , , , , , , , 
 ,COMPULSORY ROLLING STOCKS, , , , , , , , , , , , 
N,20 MICRONS LTD,       169.70,       170.90,       171.90,       164.30,       169.35,                 17025081.90,101110,N, ,9490,       201.00,       145.50
N,360 ONE WAM LIMITED,       646.55,       646.55,       654.50,       638.10,       643.05,                147929515.95,229384,N, ,16476,      1960.00,       395.10
N,3I INFOTECH LIMITED,        53.60,        53.50,        53.95,        51.50,        52.95,                 79197891.00,1498487,N, ,8346,        60.10,        26.25
N,3M INDIA LIMITED,     34345.40,     34339.00,     34418.50,     33701.00,     34092.75,                112053871.95,3290,N, ,2092,     39876.10,     21500.00
N,3P LAND HOLDINGS LIMITED,        34.60,        35.10,        35.70,        33.05,        34.35,                  1763098.80,51207,N, ,770,        37.20,        17.65
N,5PAISA CAPITAL LIMITED,       603.00,       597.35,       614.90,       586.25,       597.20,                161465764.85,268227,N, ,11280,       758.45,       270.10
N,AARON INDUSTRIES LIMITED,       276.75,       275.55,       279.40,       273.05,       276.75,                  2862170.30,10389,N, ,650,       326.40,       237.00
N,AARTECH SOLONICS LIMITED,       140.45,       138.15,       143.70,       137.20,       138.65,                  3865201.45,27707,N, ,707,       189.50,       127.25
N,AARTI DRUGS LTD.,       527.90,       527.90,       534.25,       517.00,       530.45,                237566558.45,449017,N, ,24742,       645.75,       313.90
N,AARTI INDUSTRIES LTD,       583.05,       601.05,       633.50,       601.05,       611.60,               6058647218.35,9846316,N, ,163488,       661.50,       438.00
N,AARTI PHARMALABS LIMITED,       513.15,       512.95,       519.60,       493.30,       511.95,                 53428739.95,105111,N, ,12186,       560.00,       269.00
N,AARTI SURFACTANTS LIMITED,       701.70,       708.25,       737.70,       691.60,       712.45,                125105271.15,174503,N, ,20614,       784.60,       418.05
N,AARVEE DEN. & EXP. LTD,        29.10,        29.40,        30.25,        28.75,        28.90,                  1037339.85,35452,N, ,393,        33.00,        16.25
N,AARVI ENCON LIMITED,       152.90,       154.85,       155.90,       151.10,       154.70,                  2555943.85,16607,N, ,553,       183.90,       100.50
N,AATMAJ HEALTHCARE LIMITED,        41.60,        41.85,        42.50,        39.95,        40.40,                  4406300.00,108000,N, ,53,        60.00,        39.20
