MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1177.15,      1212.00,      1212.00,      1177.06,      1177.83,                  4521247.09,3840,83,      1212.80,      1098.54,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1326.29,      1344.00,      1344.00,      1326.06,      1326.59,                  9550434.27,7198,232,      1398.00,      1040.00,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1180.54,      1180.07,      1182.99,      1177.99,      1180.58,                 57607564.38,48885,86,      1203.15,      1099.10,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1075.54,      1075.33,      1079.50,      1075.33,      1079.49,                   835294.42,775,41,      1262.60,       858.69,NIFTY BHARAT BOND INDEX - APRIL 2033
N,EQ,EGOLD,EDELAMC - EGOLD,        63.95,        63.75,        63.75,        63.70,        63.75,                     1529.95,24,6,        74.20,        60.15,GOLD
N,EQ,ESG,MIRAEAMC - MAESGETF,        35.69,        35.69,        35.69,        35.17,        35.54,                   671893.09,18921,145,        37.31,        27.46,NIFTY100 ESG SECTOR LEADERS TRI INDEX
N,EQ,ESILVER,EDELAMC - ESILVER,        73.33,        73.41,        73.81,        71.49,        73.10,                  2936517.10,40181,124,        80.97,        71.49,SILVER
N,EQ,FINIETF,ICICIPRAMC-ICICIFIN,        22.67,        23.13,        23.13,        22.10,        22.47,                  9556035.52,428814,617,        23.50,        15.21,NIFTY FINANCIAL SERVICES EX-BANK INDEX
N,EQ,FMCGIETF,ICICIPRAMC - ICICIFMCG,       582.03,       581.99,       581.99,       571.45,       577.12,                 14273274.33,24732,512,       607.58,       446.56,NIFTY FMCG INDEX
N,EQ,GILT5YBEES,RELCAPAMC - NETFGILT5Y,        54.49,        54.50,        54.54,        54.48,        54.51,                  9045839.09,165961,367,        56.15,        49.15,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        52.67,        54.25,        54.25,        52.36,        52.49,                228949093.28,4362662,32750,        55.30,        46.51,GOLD
N,EQ,GOLDETF,MIRAEAMC - MAGOLDETF,        62.38,        62.76,        62.76,        60.18,        62.12,                  3125747.78,50483,1493,        69.80,        47.60,GOLD
