ADANI POWER LTD               ,ADANIPOWER,BE,N,0000521.45,0000521.45,0000530.25,0000509.00,0000523.55,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADANI TOTAL GAS LIMITED       ,ATGL      ,EQ,N,0001004.10,0001006.90,0001014.70,0000972.45,0000983.10,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADANI WILMAR LIMITED          ,AWL       ,EQ,N,0000355.85,0000355.00,0000363.45,0000348.55,0000356.60,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADF FOODS LIMITED             ,ADFFOODS  ,EQ,N,0000192.80,0000193.80,0000204.50,0000187.60,0000202.10,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADIT BIRL SUN LIF AMC LTD     ,ABSLAMC   ,EQ,N,0000483.40,0000480.00,0000486.55,0000472.00,0000479.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADITYA BIRLA CAPITAL LTD.     ,ABCAPITAL ,EQ,N,0000175.10,0000175.10,0000176.00,0000171.10,0000175.10,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADITYA BIRLA FASHION & RT     ,ABFRL     ,EQ,N,0000223.65,0000223.00,0000225.35,0000216.50,0000223.15,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADITYA BIRLA MONEY LTD        ,BIRLAMONEY,EQ,N,0000135.30,0000135.00,0000137.50,0000124.20,0000132.75,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADITYBIRLA SL GOLD ETF-GR     ,BSLGOLDETF,EQ,N,0000055.78,0000055.75,0000055.75,0000055.30,0000055.39,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADITYBIRLA SL NIF ETF-GR      ,BSLNIFTY  ,EQ,N,0000024.54,0000024.85,0000024.88,0000024.10,0000024.41,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADOR WELDING LTD              ,ADORWELD  ,EQ,N,0001540.90,0001535.00,0001567.00,0001489.00,0001560.70,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADROIT INFOTECH LIMITED       ,ADROITINFO,BE,G,0000029.95,0000029.35,0000029.45,0000029.35,0000029.45,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADVANCED ENZYME TECH LTD      ,ADVENZYMES,EQ,N,0000364.90,0000365.10,0000391.95,0000358.10,0000378.25,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
ADVANI HOT.& RES.(I) LTD      ,ADVANIHOTR,EQ,N,0000113.60,0000113.80,0000115.25,0000107.80,0000112.95,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AEGIS LOGISTICS LIMITED       ,AEGISCHEM ,EQ,N,0000370.45,0000370.45,0000383.70,0000369.05,0000376.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AEROFLEX INDUSTRIES LTD       ,AEROFLEX  ,EQ,N,0000160.95,0000161.00,0000163.05,0000156.05,0000159.35,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AETHER INDUSTRIES LIMITED     ,AETHER    ,EQ,N,0000876.40,0000873.00,0000880.00,0000852.95,0000866.70,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AFFLE (INDIA) LIMITED         ,AFFLE     ,EQ,N,0001285.70,0001272.90,0001292.70,0001205.05,0001255.70,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGARWAL FLOAT GLASS I LTD     ,AGARWALFT ,SM,N,0000064.00,0000062.10,0000064.00,0000062.00,0000064.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGARWAL INDS CORP LTD.        ,AGARIND   ,EQ,N,0000988.60,0001025.00,0001079.90,0000989.00,0001072.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGI GREENPAC LIMITED          ,AGI       ,EQ,N,0000819.60,0000819.80,0000825.90,0000791.10,0000810.30,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGNI GREEN POWER LTD          ,AGNI      ,SM,N,0000037.10,0000036.25,0000040.80,0000035.25,0000040.80,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGRI-TECH (INDIA) LIMITED     ,AGRITECH  ,EQ,N,0000228.55,0000234.60,0000239.95,0000221.45,0000223.40,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGRO PHOS INDIA LIMITED       ,AGROPHOS  ,EQ,N,0000044.10,0000043.40,0000044.65,0000042.25,0000044.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGRO TECH FOODS LIMITED       ,ATFL      ,EQ,N,0000850.70,0000853.00,0000853.00,0000825.00,0000832.60,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AGS TRANSACT TECH LTD         ,AGSTRA    ,EQ,N,0000109.30,0000110.35,0000113.50,0000105.00,0000112.10,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AHLADA ENGINEERS LIMITED      ,AHLADA    ,EQ,N,0000139.65,0000141.05,0000144.80,0000137.00,0000144.10,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AHLUWALIA CONT IND LTD        ,AHLUCONT  ,EQ,N,0000812.10,0000815.00,0000838.80,0000787.00,0000834.75,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AIA ENGINEERING LIMITED       ,AIAENG    ,EQ,N,0003717.75,0003718.00,0003815.45,0003601.00,0003648.15,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AION-TECH SOLUTIONS LTD       ,GOLDTECH  ,BE,G,0000163.30,0000161.95,0000166.00,0000160.05,0000162.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AIRAN LIMITED                 ,AIRAN     ,BE,N,0000031.80,0000032.00,0000032.20,0000030.25,0000031.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
AIRO LAM LIMITED              ,AIROLAM   ,EQ,N,0000138.05,0000138.00,0000142.20,0000136.60,0000138.55,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
